Name	Party	University	Subject area	Phrase	Occupation
Lord Browne-Wilkinson	Crossbench	No university found			Judge
Lord Burnett	Liberal Democrat	No university found			Politician, solicitor
Lord Burns	Crossbench	No university found			No occupation found
Lord Butler of Brockwell	Crossbench	No university found	Social studies	Mods and Greats and twice gained a Rugby Blue, letter that read	No occupation found
Lord Callanan	Conservative	No university found		No phrase found	No occupation found
Lord Cameron of Dillington	Crossbench	No university found	Historical & philosophical studies	modern history, Cameron has been manager of the Dillington Estate in Somerset, which has been in his mother	No occupation found
Lord Cameron of Lochbroom	Crossbench	No university found		No phrase found	No occupation found
Lord Campbell-Savours	Labour	No university found			No occupation found
Lord Carey of Clifton	Crossbench	King's College London;	Historical & philosophical studies	intensely, gaining six O, in , Master of Theology degree and a Ph, my lecture will have noted that I was as critical of the West, of Christianity and, for that matter, also sharply critical of Israel, of Christian anthropology , of Christian doctrines of the crucifixion	Theologian
Lord Carlile of Berriew	Liberal Democrat	King's College London	Law	in Law in 	Barrister
Lord Carrington	Conservative	No university found			No occupation found
Lord Carrington of Fulham	Conservative	No university found		No phrase found	No occupation found
Lord Carswell	Crossbench	Pembroke College, Oxford	Law	Bachelor of Arts and Master of Arts in classics and law in , from the University of Chicago	Judge
Lord Carter of Barnes	Labour	Pembroke College, Oxford		No phrase found	Judge
Lord Carter of Coles	Labour	No university found			No occupation found
Lord Cashman	Labour	No university found		No phrase found	No occupation found
Lord Cavendish of Furness	Conservative	No university found		No phrase found	No occupation found
Lord Chadlington	Conservative	No university found	Mass communications & documentation	Moral Science and Theology, , Bachelor of Arts and Master of Arts he instead went into journalism	Businessman
Lord Chalfont	Crossbench	No university found	Other	the Military Cross in the Malayan jungle in 	Politician
Lord Chidgey	Liberal Democrat	University of Portsmouth			No occupation found
Lord Chorley	Crossbench	University of Portsmouth		No phrase found	No occupation found
Lord Christopher	Labour	No university found			No occupation found
Lord Clark of Windermere	Labour	Victoria University of Manchester	Social studies	BA in Economics, then later an MSc, PhD from the University of Sheffield, Freedom of the Borough of South Shields in February 	No occupation found
Lord Clarke of Hampstead	Labour	No university found			No occupation found
Lord Clarke of Stone-cum-Ebony	Judge	King's College, Cambridge	Social studies	economics and law at King	Judge
Lord Clement-Jones	Liberal Democrat	No university found			No occupation found
Lord Clinton-Davis	Labour	No university found	Law	in Law in 	No occupation found
Lord Cobbold	Crossbench	No university found		No phrase found	No occupation found
Lord Coe	Conservative	Loughborough University	Architecture, building & planning	Economics and Social History at Loughborough University and won his first major race in , an honorary degree as Doctor of Science , an Honorary Fellow of the Royal Institute of British Architects	Member of House of Lords, former track and field athlete and Sports administrator
Lord Collins of Highbury	Labour	No university found			No occupation found
Lord Collins of Mapesbury	Judge	Downing College, Cambridge; Columbia Law School, Columbia University	Law	with a starred first in Law	Judge
Lord Colwyn	Conservative	No university found			No occupation found
Lord Condon	Crossbench	No university found	Law	Jurisprudence at St Peter, the Queen	No occupation found
Lord Cooper of Windrush	Conservative	No university found		No phrase found	No occupation found
Lord Cope of Berkeley	Conservative	No university found			No occupation found
Lord Cormack	Conservative	University of Hull	Other	Bachelor of Arts degree in 	No occupation found
Lord Cotter	Liberal Democrat	No university found	Business & administrative studies	Business Studies at a polytechnic in London, eventually running his own small manufacturing company, Plasticable Ltd in Alton, which is now run as a co	Politician
Lord Craig of Radley	Crossbench	No university found	Mathematical sciences	place at Lincoln College, Oxford, where he graduated with a degree in Mathematics, and joined the Oxford University Air Squadron, his , the Queen, an honorary DSc	No occupation found
Lord Crathorne	Conservative	No university found			No occupation found
Lord Crickhowell	Conservative	Trinity College, Cambridge			No occupation found
Lord Crisp	Crossbench	No university found	Historical & philosophical studies	a life peerage upon retirement, and sits as a crossbencher in the House of Lords, philosophy at St John	No occupation found
Lord Cromwell	Crossbench	No university found		No phrase found	No occupation found
Lord Cullen of Whitekirk	Crossbench	University of St Andrews,			Advocate
Lord Cunningham of Felling	Labour	College of St Hild and St Bede	Physical sciences	at Bede College of Durham University, receiving a BSc in Chemistry in 	No occupation found
Lord Currie of Marylebone	Crossbench	No university found	Mathematical sciences	first class degree in mathematics at Manchester University and a masters degree in National Economic Planning at Birmingham University, after which he obtained a post as an economist with Hoare Govett, an honorary doctorate of science by the City University	crossbencher
Lord Curry of Kirkharle	Crossbench	No university found		No phrase found	crossbencher
Lord Dannatt	Crossbench	No university found	Law	the Military Cross, law at Emmanuel College, Cambridge but was turned down after an interview, at which point his ambition switched towards a military career, the Military Cross, of economic history later in , in , the Queen, a mention in despatches and reaching the rank of captain before leaving the Army in , the Military Cross	No occupation found
Lord Darzi of Denham	Labour	No university found		No phrase found	No occupation found
Lord Davidson of Glen Clova	Labour	Stirling, Bradford, Edinburgh			Advocate
Lord Davies of Abersoch	Labour	Stirling, Bradford, Edinburgh		No phrase found	Advocate
Lord Davies of Coity	Labour	No university found			No occupation found
Lord Davies of Oldham	Labour	No university found	Social studies	with a Bachelor of Arts in history , with a Bachelor of Science in economics in 	No occupation found
Lord Davies of Stamford	Labour	No university found		No phrase found	No occupation found
Lord de Mauley	Conservative	No university found		No phrase found	No occupation found
Lord Dear	Crossbench	No university found	Law	law, the Queen, the Queen, charge of wanton damage in Brixton	No occupation found
Lord Deben	Conservative	Selwyn College, Cambridge	Historical & philosophical studies	at the King, History at Selwyn College, Cambridge, a Medal of Honour by the Royal Society for the Protection of Birds citation needed, a peerage in the 	No occupation found
Lord Deighton	Conservative	Trinity College, Cambridge	Social studies	in , economics	No occupation found
Lord Denham	Conservative	No university found			No occupation found
Lord Desai	Labour	No university found	Other	the Padma Bhushan, the third highest civilian award in the Republic of India, in , of Global GovernanceNext Steps in the ride to the top Article in MintThe Times of India	Economist
Lord Dholakia	Liberal Democrat	No university found	Other	at Brighton Technical College	No occupation found
Lord Dixon	Labour	No university found			No occupation found
Lord Dixon-Smith	Conservative	No university found			No occupation found
Lord Dobbs	Conservative		Social studies	in , in , what would become a trilogy of political thrillers with Francis Urquhart as the central character	No occupation found
Lord Donoughue	Labour	No university found	Historical & philosophical studies	at Lincoln College, Oxford, , Bachelor of Arts in , as a Doctor of Philosophy 	No occupation found
Lord Drayson	Labour	Aston University	Engineering & technology	from Aston University in Production Engineering, followed in , a 	Businessman
Lord Dubs	Labour	London School of Economics			No occupation found
Lord Dykes	Liberal Democrat	No university found	Languages	the German Order of Merit followed by the Luxembourg Medaille pour l	No occupation found
Lord Eames	Crossbench	Queen's University Belfast	Law	at the Queen, LL, a Ph, ecclesiastical law and history in , in theology with a Divinity Testimonium 	No occupation found
Lord Eatwell	Labour	Queens' College, Cambridge	Other	B, pH	No occupation found
Lord Eden of Winton	Conservative	Open University		No phrase found	Peer and Businesswoman
Lord Edmiston	Conservative	No university found			No occupation found
Lord Elder	Labour	No university found	Historical & philosophical studies	from the University of Edinburgh with a Master of Arts in economic history	No occupation found
Lord Elis-Thomas	Crossbench	No university found			No occupation found
Lord Elton	Conservative	No university found			No occupation found
Lord Elystan-Morgan	Crossbench	No university found			Judge and politician
Lord Empey	UUP	Queen's University Belfast	Social studies	with an economics degree from Queen	Businessman
Lord Evans of Parkside	Labour	No university found			No occupation found
Lord Evans of Temple Guiting	Labour	No university found			No occupation found
Lord Evans of Watford	Labour	No university found			Publishing, Consultancy and Healthcare and Charity
Lord Ezra	Liberal Democrat	No university found	Engineering & technology	of combustion engineering	No occupation found
Lord Falconer of Thoroton	Labour	Queens' College, Cambridge	Law	Law at Queens, an honorary Doctorate of Laws 	No occupation found
Lord Farmer	Conservative	London School of Economics University of Kent		No phrase found	No occupation found
Lord Faulkner of Worcester	Labour	No university found	Social studies	Philosophy, Politics and Economics, he worked as a researcher and journalist for the Labour Party since when he has been active in politics	Politician
Lord Faulks	Conservative	No university found		No phrase found	Politician
Lord Fearn	Liberal Democrat	No university found			No occupation found
Lord Feldman	Conservative	No university found			No occupation found
Lord Feldman of Elstree	Conservative	No university found		No phrase found	No occupation found
Lord Fellowes	Crossbench	No university found			No occupation found
Lord Fellowes of West Stafford	Conservative	No university found		No phrase found	No occupation found
Lord Filkin	Labour	No university found			Chair, Centre for Ageing Better
Lord Fink	Conservative	No university found		No phrase found	Chair, Centre for Ageing Better
Lord Finkelstein	Conservative	No university found		No phrase found	Chair, Centre for Ageing Better
Lord Flight	Conservative	No university found		No phrase found	No occupation found
Lord Forsyth of Drumlean	Conservative	University of St Andrews			No occupation found
Lord Foster of Bishop Auckland	Labour	University of St Andrews		No phrase found	No occupation found
Lord Foulkes of Cumnock	Labour	University of Edinburgh	Social studies	with a Bachelor of Science in Psychology	No occupation found
Lord Fowler	Conservative	Trinity Hall, Cambridge; King Edward VI Grammar School, Chelmsford	Other	at Trinity Hall, Cambridge, he was Chairman of the Cambridge University Conservative Association in Michaelmas 	No occupation found
Lord Fox	Liberal Democrat	No university found			No occupation found
Lord Framlingham	Conservative	Christ's College, Cambridge			No occupation found
Lord Freeman	Conservative	Balliol College, Oxford			No occupation found
Lord Freud	Conservative	No university found			No occupation found
Lord Freyberg	Crossbench	No university found	Other	the Victoria Cross, a Companion of the Order of St Michael and St George the same year, him a third DSO, the Military Cross, at the end of their graves, to the winner in single sculls at the New Zealand Rowing Championship	No occupation found
Lord Gardiner of Kimble	Conservative	St Hilda's College, Oxford		No phrase found	No occupation found
Lord Garel-Jones	Conservative	No university found			No occupation found
Lord Gavron	Labour	No university found	Other	at Leighton Park School in Reading and St Peter, life peerage as Baron Gavron, of Highgate in the Borough of Camden, on 	No occupation found
Lord Geddes	Conservative	No university found			No occupation found
Lord German	Liberal Democrat	Open University	Social studies	the OBE for his public and political service	No occupation found
Lord Giddens	Labour	No university found		No phrase found	No occupation found
Lord Glasman	Labour	No university found	Historical & philosophical studies	Modern History at St Catharine	No occupation found
Lord Glenarthur	Conservative	No university found			No occupation found
Lord Glendonbrook	Conservative	No university found	Law	the CBE, , an Honorary Degree of Doctor of Laws from the University of Leicester on 	Businessman
Lord Glentoran	Conservative	No university found			No occupation found
Lord Goddard of Stockport	Liberal Democrat	No university found			No occupation found
Lord Goff of Chieveley	Crossbench	New College, Oxford	Other	at Eton College and at New College, Oxford, the Grand Gross 	Judge
Lord Gold	Conservative	No university found			No occupation found
Lord Goldsmith	Labour	Gonville and Caius College, Cambridge	Law	law at Gonville and Caius College, Cambridge and University College London, as a solicitor of the Supreme Court of England and Wales 	No occupation found
Lord Goodhart	Liberal Democrat	No university found	Law	with a law degree from Trinity College, Cambridge in , law at Harvard University	No occupation found
Lord Goodlad	Conservative	King's College, Cambridge	Law	law at King	No occupation found
Lord Gordon of Strathblane	Labour	No university found	Historical & philosophical studies	with a Master of Arts in classics in , a Commander of the Order of the British Empire , Sony Award for his outstanding services to radio	No occupation found
Lord Grabiner	Labour	No university found	Social studies	at the London School of Economics , with a first class honours Bachelor of Laws 	No occupation found
Lord Grade of Yarmouth	Conservative	No university found		No phrase found	No occupation found
Lord Graham of Edmonton	Labour	No university found			No occupation found
Lord Grantchester	Labour	No university found			No occupation found
Lord Greaves	Liberal Democrat	No university found	Social studies	BA in Geography 	No occupation found
Lord Green of Hurstpierpoint	Conservative	No university found		No phrase found	No occupation found
Lord Greenway	Crossbench	No university found		No phrase found	No occupation found
Lord Grenfell	Other	No university found			No occupation found
Lord Griffiths	Crossbench	No university found			No occupation found
Lord Griffiths of Burry Port	Labour	No university found	Other	at Cardiff University	No occupation found
Lord Griffiths of Fforestfach	Conservative	No university found			Politician, banker
Lord Grocott	Labour	University of Leicester	Social studies	MA from Manchester University after conducting research on Local Government	No occupation found
Lord Guthrie of Craigiebank	Crossbench	No university found			No occupation found
Lord Hall of Birkenhead	Crossbench	Keble College, Oxford	Social studies	Philosophy, Politics and Economics, graduating with the degree of MA, him the 	TV journalist and media executive
Lord Hameed	Crossbench	No university found	Other	CBE in the , the Sternberg Award for , the Padma Bhushan, 	No occupation found
Lord Hamilton of Epsom	Conservative	No university found			No occupation found
Lord Hannay of Chiswick	Crossbench	No university found	Other	the honorary degree of Doctor of Letters by Birmingham University in 	No occupation found
Lord Hanningfield	Conservative	King Edward VI Grammar School, Chelmsford	Agriculture & related subjects	Nuffield Scholarship for Agriculture, Hanningfield the Rural Vision , , the 	No occupation found
Lord Hardie	Judge	University of Edinburgh			Advocate
Lord Harries of Pentregarth	Crossbench	Selwyn College, Cambridge	Historical & philosophical studies	, theology , for ordination, edit	Army officer; theologian; author
Lord Harris of Haringey	Labour	Trinity College, Cambridge			No occupation found
Lord Harris of Peckham	Conservative	No university found			Businessman
Lord Harrison	Labour	No university found	Languages	in , English and American studies, American studies in 	No occupation found
Lord Hart of Chilton	Labour	No university found			No occupation found
Lord Haskel	Labour	No university found			No occupation found
Lord Haskins	Crossbench	No university found	Historical & philosophical studies	modern history, he contemplated becoming a journalist	No occupation found
Lord Hastings of Scarisbrick	Crossbench	No university found		No phrase found	No occupation found
Lord Hattersley	Labour	University of Hull	Social studies	at the University of Hull, English at the University of Leeds, , Economics when told by a Sheffield colleague of his mother that it was necessary for a political career, Hattersley worked briefly for a Sheffield steelworks and then for two years with the Workers	Journalist
Lord Haughey	Labour	University of Hull		No phrase found	Journalist
Lord Haworth	Labour	University of Hull		No phrase found	Journalist
Lord Healey	Labour	Balliol College, Oxford	Social studies	at night school, Greats where he was involved in Labour politics, although he was not active in the Oxford Union Society, in , over , life peerage as Baron Healey, of Riddlesden in the County of West Yorkshire, crime fiction	No occupation found
Lord Henley	Conservative	No university found	Other	the Peerage of Great Britain and then in the Peerage of Ireland	No occupation found
Lord Hennessy of Nympsfield	Crossbench	No university found		No phrase found	No occupation found
Lord Heseltine	Conservative	Pembroke College, Oxford	Social studies	with a second, Philosophy, Politics and Economics, described by his own tutor as , he built up a property business in partnership with his Oxford friend Ian Josephs	No occupation found
Lord Higgins	Conservative	No university found			No occupation found
Lord Hill of Oareford	Conservative	Trinity College, Cambridge	Historical & philosophical studies	History, graduating with the degree of Master of Arts 	No occupation found
Lord Hodgson of Astley Abbotts	Conservative	No university found	Other	a CBE in the 	No occupation found
Lord Hoffmann	Crossbench	University of Cape Town	Other	for the BCL degree and won the Vinerian Scholarship	Jurist
Lord Hollick	Labour	No university found	Social studies	Politics, Psychology and Sociology at the University of Nottingham, reputation as a financier and a dealmaker, becoming in 	No occupation found
Lord Holmes of Richmond	Conservative	No university found		No phrase found	No occupation found
Lord Hope of Craighead	Judge	St John's College, Cambridge;	Law	B, at the Faculty of Law of the University of Edinburgh, graduating LL, a Life peerage in the , an honorary LL, the David Kelbie Award by the Institute of Contemporary Scotland	Advocate
Lord Hope of Thornes	Crossbench	University of Nottingham			No occupation found
Lord Horam	Conservative	University of Nottingham		No phrase found	No occupation found
Lord Howard of Lympne	Conservative	Peterhouse, Cambridge	Other	at Peterhouse, Cambridge following which he joined the Young Conservatives, with a , the title as an honorific despite no longer practising at the Bar	No occupation found
Lord Howard of Rising	Conservative	No university found			No occupation found
Lord Howarth of Newport	Labour	No university found		No phrase found	No occupation found
Lord Howe of Aberavon	Conservative	Trinity Hall, Cambridge	Law	Law and was chairman of the Cambridge University Conservative Association, and on the committee of the Cambridge Union Society	No occupation found
Lord Howell of Guildford	Conservative	King's College, Cambridge	Other	in , in income, wealth and power, published 	No occupation found
Lord Howie of Troon	Labour	No university found			No occupation found
Lord Hoyle	Labour	No university found		No phrase found	No occupation found
Lord Hughes of Woodside	Labour	No university found			No occupation found
Lord Hunt of Chesterton	Labour	No university found	Engineering & technology	Mechanical Sciences at Trinity College, Cambridge where he is now a fellow, , first class honours degree in , a PhD on Aspects of Magnetohydrodynamics from Cambridge	No occupation found
Lord Hunt of Kings Heath	Labour	University of Leeds	Other	officer in 	No occupation found
Lord Hunt of Wirral	Conservative	No university found	Law	Law, an honorary Doctor of Laws degree by the University of Bristol on 	No occupation found
Lord Hurd of Westwell	Conservative	Eton College	Historical & philosophical studies	, with a first, History at Trinity College , edit	No occupation found
Lord Hussain	Liberal Democrat	Eton College		No phrase found	No occupation found
Lord Hutton	Crossbench	No university found			No occupation found
Lord Hutton of Furness	Labour	No university found		No phrase found	No occupation found
Lord Hylton	Crossbench	No university found		No phrase found	No occupation found
Lord Imbert	Crossbench	No university found	Business & administrative studies	the Queen, the Imbert Prize annually since , for the development of ideas for the advancement of risk and security management in the UK	Police officer
Lord Inge	Crossbench	No university found	Other	Army career edit, edit	No occupation found
Lord Inglewood	Conservative	No university found			No occupation found
Lord Irvine of Lairg	Labour	University of Glasgow	Law	Scots law at the University of Glasgow and became involved in debating with the Glasgow University Dialectic Society and at the Glasgow University Union, where he befriended contemporary Labourites Donald Dewar and John Smith, English law at Christ, a pay rise of 	Barrister
Lord Jacobs	Liberal Democrat	No university found			No occupation found
Lord James of Blackheath	Conservative	No university found			No occupation found
Lord Janner of Braunstone	Labour	No university found	Law	Law, attending Trinity Hall, Cambridge where he was President of the Cambridge Union Society in 	No occupation found
Lord Janvrin	Crossbench	Britannia Royal Naval College and Brasenose College, Oxford	Other	first class bachelor, 	No occupation found
Lord Jay of Ewelme	Crossbench	Britannia Royal Naval College and Brasenose College, Oxford		No phrase found	No occupation found
Lord Jenkin of Roding	Conservative	Jesus College, Cambridge			No occupation found
Lord Joffe	Crossbench	No university found	Other	an Honorary Degree 	No occupation found
Lord Jones	Labour	No university found			No occupation found
Lord Jones of Birmingham	Crossbench	No university found		No phrase found	No occupation found
Lord Jones of Cheltenham	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Jopling	Conservative	Durham University			No occupation found
Lord Jordan	Labour	No university found			No occupation found
Lord Judd	Labour	No university found			No occupation found
Lord Judge	Judge	Magdalene College, Cambridge	Law	an Open Exhibition to study History and Law at Magdalene College, Cambridge in , BA in , the customary knighthood, an honorary doctorate from Nottingham Trent University, 	Barrister, Jurist, Queen's Counsel, Judge, Privy Councillor, Peer of the (British) Realm, Crossbencher, Professor of Law [1]
Lord Kakkar	Crossbench	No university found			No occupation found
Lord Kalms	Conservative	No university found		No phrase found	No occupation found
Lord Kennedy of Southwark	Labour	No university found			No occupation found
Lord Kerr of Kinlochard	Crossbench	No university found	Education	Background and education edit, edit	No occupation found
Lord Kerr of Tonaghmore	Judge	Queen's University Belfast	Law	law at Queen	Barrister
Lord Kestenbaum	Labour	No university found			No occupation found
Lord Kilclooney	Crossbench	Queen's University Belfast			No occupation found
Lord Kilpatrick of Kincraig	Crossbench	No university found			No occupation found
Lord Kimball	Conservative	No university found			No occupation found
Lord King of Bridgwater	Conservative	Emmanuel College, Cambridge			No occupation found
Lord King of Lothbury	Crossbench	Emmanuel College, Cambridge		No phrase found	No occupation found
Lord Kingsdown	Crossbench	No university found	Other	in 	No occupation found
Lord Kinnock	Labour	Cardiff University	Social studies	, industrial relations and history in , postgraduate diploma in education, at University College, Cardiff, where they were known as , edit	No occupation found
Lord Kirkham	Conservative	No university found			Businessman
Lord Kirkhill	Labour	No university found		No phrase found	Businessman
Lord Kirkwood of Kirkhope	Liberal Democrat	Heriot-Watt University	Subjects allied to medicine	Pharmacy at Heriot, BSc in 	No occupation found
Lord Knight of Weymouth	Labour	No university found		No phrase found	No occupation found
Lord Knights	Crossbench	No university found		No phrase found	No occupation found
Lord Krebs	Crossbench	Pembroke College, Oxford	Other	of territorial behaviour in the Great tit Parus major L, of territorial behaviour in the Great tit Parus major L	No occupation found
Lord Laird	UUP	No university found	Other	at the Royal Belfast Academical Institution and is an energetic supporter of all things Instonian	Politician
Lord Laming	Crossbench	No university found	Social studies	Applied Social Studies at Durham University in 	No occupation found
Lord Lamont of Lerwick	Conservative	Fitzwilliam College, Cambridge	Social studies	Economics 	No occupation found
Lord Lang of Monkton	Conservative	Sidney Sussex College, Cambridge			No occupation found
Lord Lawson of Blaby	Conservative	Christ Church, Oxford	Social studies	first, Philosophy, Politics and Economics	No occupation found
Lord Layard	Labour	No university found	Social studies	of what has since come to be known as happiness economics	No occupation found
Lord Lea of Crondall	Labour	No university found	Social studies	Economics	No occupation found
Lord Leach of Fairford	Conservative	No university found	Other	a life peerage in 	No occupation found
Lord Lee of Trafford	Liberal Democrat	No university found			No occupation found
Lord Leigh of Hurley	Conservative	No university found			No occupation found
Lord Leitch	Labour	No university found			Peer and Businessman
Lord Lennie	Labour	No university found			No occupation found
Lord Lester of Herne Hill	Liberal Democrat	No university found	Law	history and law at Trinity College, Cambridge, and Harvard Law School	No occupation found
Lord Levene of Portsoken	Crossbench	No university found	Social studies	at the University of Manchester where he graduated with a degree in Economics and Political Science, Gold Medal , Gold Medal for Services to Lloyd	No occupation found
Lord Levy	Labour	No university found	Business & administrative studies	as a Chartered Accountant in 	No occupation found
Lord Lewis of Newnham	Crossbench	University of London	Physical sciences	in , chemistry from the University of London, after which he moved to the University of Nottingham where he obtained his Ph, their Davy Medal in , an Honorary Degree 	No occupation found
Lord Lexden	Conservative	No university found	Other	at Peterhouse, University of Cambridge, from which he graduated Master of Arts , a PhD from that institution in 	Historian
Lord Liddle	Labour	No university found	Other	a peerage in the 	No occupation found
Lord Lingfield	Conservative	No university found		No phrase found	No occupation found
Lord Lipsey	Labour	No university found	Other	a Special Orwell Prize in 	No occupation found
Lord Livingston of Parkhead	Conservative	No university found		No phrase found	No occupation found
Lord Lloyd of Berwick	Crossbench	Trinity College, Cambridge			Judge
Lord Lloyd-Webber	Conservative	No university found	Historical & philosophical studies	number of honours, including a knighthood in , history for a term at Magdalen College, Oxford, although he abandoned the course in Winter , at the Royal College of Music and pursue his interest in musical theatre, about the plight of Cambodian orphans, Grammy Award in , limited cinema release in the US and Canada in 	Composer, panellist, television personality,
Lord Loomba	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Low of Dalston	Crossbench	No university found			No occupation found
Lord Lucas	Conservative	No university found	Other	special remainder of the marquessate, in default of his heirs male, to his granddaughter, Jemima Campbell 	No occupation found
Lord Luce	Crossbench	No university found			No occupation found
Lord Luke	Conservative	No university found			No occupation found
Lord Lyell	Conservative	No university found		No phrase found	No occupation found
Lord Macaulay of Bragar	Labour	No university found		No phrase found	No occupation found
Lord Macdonald of River Glaven	Liberal Democrat	No university found	Social studies	PPE at St Edmund Hall, Oxford from , a knighthood in the 	Barrister
Lord Macdonald of Tradeston	Labour	No university found			No occupation found
Lord Macfarlane of Bearsden	Conservative	No university found	Other	knighthood in 	No occupation found
Lord MacGregor of Pulham Market	Conservative	University of St Andrews			No occupation found
Lord Mackay of Clashfern	Conservative	University of Edinburgh	Physical sciences	mathematics and physics at the University of Edinburgh, receiving a joint MA in , BA in mathematics in , law, receiving an LLB , the Cabinet, an Honorary Degree 	Advocate
Lord Mackay of Drumadoon	Judge	University of Edinburgh,	Law	at the School of Law of the University of Edinburgh 	Advocate
Lord MacKenzie of Culkein	Labour	No university found			No occupation found
Lord Mackenzie of Framwellgate	Labour	University of London	Law	Law at the University of London	Politician
Lord Mackie of Benshie	Liberal Democrat	No university found			No occupation found
Lord MacLaurin of Knebworth	Conservative	No university found			No occupation found
Lord Maclennan of Rogart	Liberal Democrat	No university found			No occupation found
Lord Magan of Castletown	Conservative	No university found			Businessman
Lord Maginnis of Drumglass	Non-affiliated	Royal School Dungannon			No occupation found
Lord Malloch-Brown	Labour	Magdalene College, Cambridge	Historical & philosophical studies	First Class Honours Degree in History from Magdalene College, Cambridge and a Master, the , the prize, reputation as a , in the right spirit	Journalist
Lord Mance	Judge	University College, Oxford	Other	at University College, Oxford, and was called to the Bar by the Middle Temple in 	Judge
Lord Mancroft	Conservative	No university found			No occupation found
Lord Mandelson	Labour	St Catherine's College, Oxford	Social studies	, philosophy, politics and economics at St Catherine, in part , edit	No occupation found
Lord Marks of Henley-on-Thames	Liberal Democrat	No university found			No occupation found
Lord Marland	Conservative	No university found	Other	a life peerage on 	No occupation found
Lord Marlesford	Conservative	No university found			No occupation found
Lord Martin of Springburn	Crossbench	No university found			No occupation found
Lord Mason of Barnsley	Labour	No university found			No occupation found
Lord Mawhinney	Conservative	No university found		No phrase found	No occupation found
Lord Mawson	Crossbench	No university found	Historical & philosophical studies	BA degree in theology from the Victoria University of Manchester	No occupation found
Lord Maxton	Labour	No university found		No phrase found	No occupation found
Lord May of Oxford	Crossbench	University of Sydney	Physical sciences	chemical engineering and theoretical physics , Ph, of disease and to the study of biodiversity, the Weldon Memorial Prize by the University of Oxford 	No occupation found
Lord Mayhew of Twysden	Conservative	Balliol College, Oxford			No occupation found
Lord McAvoy	Labour	No university found			No occupation found
Lord McCluskey	Crossbench	University of Edinburgh	Other	at the University of Edinburgh , the station	Lawyer
Lord McColl of Dulwich	Conservative	No university found	Medicine & dentistry	medicine at the University of London and was Professor of surgery at Guy	No occupation found
Lord McConnell of Glenscorrodale	Labour	No university found		No phrase found	No occupation found
Lord McFall of Alcluith	Labour	University of Strathclyde, Open University	Historical & philosophical studies	at Paisley College of Technology , BA from the Open University in Education and Philosophy	No occupation found
Lord McKenzie of Luton	Labour	University of Bristol	Social studies	with a BA in Economics and Accounting, as a professional accountant and began his accountacy career at Martin Rata and Partners as an articled clerk in , a peerage, Lord McKenzie had been an advisor to Labour, and concerts	No occupation found
Lord McNally	Liberal Democrat	University College London			No occupation found
Lord Mendelsohn	Labour	No university found		No phrase found	No occupation found
Lord Millett	Crossbench	No university found	Law	Master of Arts degree in classics and law in , an Honorary Fellowship by Queen Mary, University of London in , for the pain and distress of pregnancy and delivery but rather that a small sum should be awarded to reflect that the parents had 	Judge
Lord Mitchell	Labour	No university found		No phrase found	Judge
Lord Mogg	Crossbench	No university found		No phrase found	Judge
Lord Molyneaux of Killead	Crossbench	No university found			No occupation found
Lord Monks	Labour	University of Nottingham	Historical & philosophical studies	Economic History at the University of Nottingham	No occupation found
Lord Montagu of Beaulieu	Conservative	No university found			No occupation found
Lord Moonie	Labour	University of Edinburgh, University of St Andrews	Medicine & dentistry	Medicine at the Bute Medical School, University of St Andrews gaining his MB ChB in 	No occupation found
Lord Moore of Lower Marsh	Conservative	London School of Economics	Law	for a law degree and acting as a local magistrate	Stockbroker
Lord Moran	Crossbench	No university found			No occupation found
Lord Morgan	Labour	No university found			No occupation found
Lord Morris of Aberavon	Labour	University College of Wales, Aberystwyth			No occupation found
Lord Morris of Handsworth	Labour	No university found	Other	the Order of Jamaica in , knighthood in the 	legislator, appointee to various quangos
Lord Morrow	DUP	No university found			No occupation found
Lord Moser	Crossbench	No university found			No occupation found
Lord Moynihan	Conservative	No university found			No occupation found
Lord Mustill	Crossbench	St John's College, Cambridge	Law	with a Doctor of Laws in 	Judge
Lord Myners	Labour	No university found	Education	from the University of London, with a First Class Honours degree in Education and a Certificate in Education , estimated , a CBE in 	No occupation found
Lord Naseby	Conservative	Christ's College, Cambridge			No occupation found
Lord Nash	Conservative	No university found	Law	Law, and obtained an M, Law at Corpus Christi College, Oxford, Nash became a barrister before moving into finance	investor
Lord Neill of Bladen	Crossbench	No university found			No occupation found
Lord Neuberger of Abbotsbury	Judge	Christ Church, Oxford	Physical sciences	chemistry at Christ Church, Oxford	Judge
Lord Newby	Liberal Democrat	St. Catherine's College, Oxford	Social studies	Bachelor of Arts degree in philosophy, politics and economics in , a Master of Arts degree	No occupation found
Lord Nicholls of Birkenhead	Crossbench	Liverpool University	Law	Law at Liverpool University and Trinity Hall, Cambridge	Judge
Lord Nickson	Crossbench	No university found			No occupation found
Lord Noon	Labour	No university found	Other	an Honorary Degree from the University of East London on 	No occupation found
Lord Northbourne	Crossbench	No university found			No occupation found
Lord Northbrook	Conservative	No university found			No occupation found
Lord Norton of Louth	Conservative	University of Sheffield, University of Pennsylvania	Historical & philosophical studies	from the University of Sheffield with the degree of Bachelor of Arts and later as a Doctor of Philosophy, and from the University of Pennsylvania with a Master of Arts	Academic
Lord O'Donnell	Crossbench	No university found		No phrase found	No occupation found
Lord O'Neill of Clackmannan	Labour	Oxford University		No phrase found	Philosopher and politician
